"","gene_id","gene_type"
"401","ENSMUSG00000032883","protein_coding"
"402","ENSMUSG00000079470","protein_coding"
"403","ENSMUSG00000047330","protein_coding"
"404","ENSMUSG00000050711","protein_coding"
"405","ENSMUSG00000054702","protein_coding"
"406","ENSMUSG00000073643","protein_coding"
"407","ENSMUSG00000026248","protein_coding"
"408","ENSMUSG00000026249","protein_coding"
"409","ENSMUSG00000043230","protein_coding"
"410","ENSMUSG00000004364","protein_coding"
"411","ENSMUSG00000110100","protein_coding"
"412","ENSMUSG00000038608","protein_coding"
"413","ENSMUSG00000054976","protein_coding"
"414","ENSMUSG00000055980","protein_coding"
"415","ENSMUSG00000026142","protein_coding"
"416","ENSMUSG00000067158","protein_coding"
"417","ENSMUSG00000079465","protein_coding"
"418","ENSMUSG00000026150","protein_coding"
"419","ENSMUSG00000026149","protein_coding"
"420","ENSMUSG00000114299","protein_coding"
"421","ENSMUSG00000026159","protein_coding"
"422","ENSMUSG00000113880","protein_coding"
"423","ENSMUSG00000113973","protein_coding"
"424","ENSMUSG00000113846","protein_coding"
"425","ENSMUSG00000113084","protein_coding"
"426","ENSMUSG00000113925","protein_coding"
"427","ENSMUSG00000114011","protein_coding"
"428","ENSMUSG00000113097","protein_coding"
"429","ENSMUSG00000038496","protein_coding"
"430","ENSMUSG00000100190","protein_coding"
"431","ENSMUSG00000113267","protein_coding"
"432","ENSMUSG00000104423","protein_coding"
"433","ENSMUSG00000101315","protein_coding"
"434","ENSMUSG00000026166","protein_coding"
"435","ENSMUSG00000053161","protein_coding"
"436","ENSMUSG00000026163","protein_coding"
"437","ENSMUSG00000045658","protein_coding"
"438","ENSMUSG00000036766","protein_coding"
"439","ENSMUSG00000026219","protein_coding"
"440","ENSMUSG00000073633","protein_coding"
"441","ENSMUSG00000026220","protein_coding"
"442","ENSMUSG00000118590","protein_coding"
"443","ENSMUSG00000052477","protein_coding"
"444","ENSMUSG00000118640","protein_coding"
"445","ENSMUSG00000089844","protein_coding"
"446","ENSMUSG00000079457","protein_coding"
"447","ENSMUSG00000118591","protein_coding"
"448","ENSMUSG00000118607","protein_coding"
"449","ENSMUSG00000070034","protein_coding"
"450","ENSMUSG00000070031","protein_coding"
"451","ENSMUSG00000026222","protein_coding"
"452","ENSMUSG00000052760","protein_coding"
"453","ENSMUSG00000036707","protein_coding"
"454","ENSMUSG00000026223","protein_coding"
"455","ENSMUSG00000026224","protein_coding"
"456","ENSMUSG00000049608","protein_coding"
"457","ENSMUSG00000026226","protein_coding"
"458","ENSMUSG00000026227","protein_coding"
"459","ENSMUSG00000026229","protein_coding"
"460","ENSMUSG00000026228","protein_coding"
"461","ENSMUSG00000094638","protein_coding"
"462","ENSMUSG00000062590","protein_coding"
"463","ENSMUSG00000079445","protein_coding"
"464","ENSMUSG00000026234","protein_coding"
"465","ENSMUSG00000026237","protein_coding"
"466","ENSMUSG00000036574","protein_coding"
"467","ENSMUSG00000026238","protein_coding"
"468","ENSMUSG00000026239","protein_coding"
"469","ENSMUSG00000026240","protein_coding"
"470","ENSMUSG00000026241","protein_coding"
"471","ENSMUSG00000053333","protein_coding"
"472","ENSMUSG00000026246","protein_coding"
"473","ENSMUSG00000079440","protein_coding"
"474","ENSMUSG00000036500","protein_coding"
"475","ENSMUSG00000026247","protein_coding"
"476","ENSMUSG00000036480","protein_coding"
"477","ENSMUSG00000026251","protein_coding"
"478","ENSMUSG00000026253","protein_coding"
"479","ENSMUSG00000026254","protein_coding"
"480","ENSMUSG00000026255","protein_coding"
"481","ENSMUSG00000048000","protein_coding"
"482","ENSMUSG00000079436","protein_coding"
"483","ENSMUSG00000026258","protein_coding"
"484","ENSMUSG00000026259","protein_coding"
"485","ENSMUSG00000079434","protein_coding"
"486","ENSMUSG00000026288","protein_coding"
"487","ENSMUSG00000026289","protein_coding"
"488","ENSMUSG00000056055","protein_coding"
"489","ENSMUSG00000070738","protein_coding"
"490","ENSMUSG00000005501","protein_coding"
"491","ENSMUSG00000090165","protein_coding"
"492","ENSMUSG00000090175","protein_coding"
"493","ENSMUSG00000089675","protein_coding"
"494","ENSMUSG00000090124","protein_coding"
"495","ENSMUSG00000090145","protein_coding"
"496","ENSMUSG00000054545","protein_coding"
"497","ENSMUSG00000089943","protein_coding"
"498","ENSMUSG00000090171","protein_coding"
"499","ENSMUSG00000081984","protein_coding"
"500","ENSMUSG00000089960","protein_coding"
"501","ENSMUSG00000079429","protein_coding"
"502","ENSMUSG00000044783","protein_coding"
"503","ENSMUSG00000036251","protein_coding"
"504","ENSMUSG00000026295","protein_coding"
"505","ENSMUSG00000062310","protein_coding"
"506","ENSMUSG00000049866","protein_coding"
"507","ENSMUSG00000036206","protein_coding"
"508","ENSMUSG00000055013","protein_coding"
"509","ENSMUSG00000034486","protein_coding"
"510","ENSMUSG00000067081","protein_coding"
"511","ENSMUSG00000026301","protein_coding"
"512","ENSMUSG00000044337","protein_coding"
"513","ENSMUSG00000034432","protein_coding"
"514","ENSMUSG00000048126","protein_coding"
"515","ENSMUSG00000026303","protein_coding"
"516","ENSMUSG00000090550","protein_coding"
"517","ENSMUSG00000026304","protein_coding"
"518","ENSMUSG00000026305","protein_coding"
"519","ENSMUSG00000070732","protein_coding"
"520","ENSMUSG00000034353","protein_coding"
"521","ENSMUSG00000034343","protein_coding"
"522","ENSMUSG00000026307","protein_coding"
"523","ENSMUSG00000049515","protein_coding"
"524","ENSMUSG00000026308","protein_coding"
"525","ENSMUSG00000047443","protein_coding"
"526","ENSMUSG00000026309","protein_coding"
"527","ENSMUSG00000067071","protein_coding"
"528","ENSMUSG00000055866","protein_coding"
"529","ENSMUSG00000034292","protein_coding"
"530","ENSMUSG00000026311","protein_coding"
"531","ENSMUSG00000007805","protein_coding"
"532","ENSMUSG00000026313","protein_coding"
"533","ENSMUSG00000026260","protein_coding"
"534","ENSMUSG00000067064","protein_coding"
"535","ENSMUSG00000057464","protein_coding"
"536","ENSMUSG00000042849","protein_coding"
"537","ENSMUSG00000058904","protein_coding"
"538","ENSMUSG00000046300","protein_coding"
"539","ENSMUSG00000062497","protein_coding"
"540","ENSMUSG00000063583","protein_coding"
"541","ENSMUSG00000061616","protein_coding"
"542","ENSMUSG00000073616","protein_coding"
"543","ENSMUSG00000044055","protein_coding"
"544","ENSMUSG00000034220","protein_coding"
"545","ENSMUSG00000034212","protein_coding"
"546","ENSMUSG00000047067","protein_coding"
"547","ENSMUSG00000026269","protein_coding"
"548","ENSMUSG00000026270","protein_coding"
"549","ENSMUSG00000026271","protein_coding"
"550","ENSMUSG00000045091","protein_coding"
"551","ENSMUSG00000014602","protein_coding"
"552","ENSMUSG00000026272","protein_coding"
"553","ENSMUSG00000034159","protein_coding"
"554","ENSMUSG00000084989","protein_coding"
"555","ENSMUSG00000047793","protein_coding"
"556","ENSMUSG00000026273","protein_coding"
"557","ENSMUSG00000026274","protein_coding"
"558","ENSMUSG00000026275","protein_coding"
"559","ENSMUSG00000034107","protein_coding"
"560","ENSMUSG00000034088","protein_coding"
"561","ENSMUSG00000026276","protein_coding"
"562","ENSMUSG00000116048","protein_coding"
"563","ENSMUSG00000034066","protein_coding"
"564","ENSMUSG00000026277","protein_coding"
"565","ENSMUSG00000026278","protein_coding"
"566","ENSMUSG00000026279","protein_coding"
"567","ENSMUSG00000026280","protein_coding"
"568","ENSMUSG00000026281","protein_coding"
"569","ENSMUSG00000026283","protein_coding"
"570","ENSMUSG00000073609","protein_coding"
"571","ENSMUSG00000094651","protein_coding"
"572","ENSMUSG00000093805","protein_coding"
"573","ENSMUSG00000073608","protein_coding"
"574","ENSMUSG00000034000","protein_coding"
"575","ENSMUSG00000026285","protein_coding"
"576","ENSMUSG00000051185","protein_coding"
"577","ENSMUSG00000040710","protein_coding"
"578","ENSMUSG00000040693","protein_coding"
"579","ENSMUSG00000026331","protein_coding"
"580","ENSMUSG00000044768","protein_coding"
"581","ENSMUSG00000040648","protein_coding"
"582","ENSMUSG00000026333","protein_coding"
"583","ENSMUSG00000026335","protein_coding"
"584","ENSMUSG00000026336","protein_coding"
"585","ENSMUSG00000067028","protein_coding"
"586","ENSMUSG00000050840","protein_coding"
"587","ENSMUSG00000047496","protein_coding"
"588","ENSMUSG00000056536","protein_coding"
"589","ENSMUSG00000026319","protein_coding"
"590","ENSMUSG00000026321","protein_coding"
"591","ENSMUSG00000038866","protein_coding"
"592","ENSMUSG00000044340","protein_coding"
"593","ENSMUSG00000057329","protein_coding"
"594","ENSMUSG00000009905","protein_coding"
"595","ENSMUSG00000009907","protein_coding"
"596","ENSMUSG00000067006","protein_coding"
"597","ENSMUSG00000059956","protein_coding"
"598","ENSMUSG00000048775","protein_coding"
"599","ENSMUSG00000044594","protein_coding"
"600","ENSMUSG00000058017","protein_coding"
"601","ENSMUSG00000073602","protein_coding"
"602","ENSMUSG00000073601","protein_coding"
"603","ENSMUSG00000026327","protein_coding"
"604","ENSMUSG00000067001","protein_coding"
"605","ENSMUSG00000062345","protein_coding"
"606","ENSMUSG00000092572","protein_coding"
"607","ENSMUSG00000026315","protein_coding"
"608","ENSMUSG00000026312","protein_coding"
"609","ENSMUSG00000047216","protein_coding"
"610","ENSMUSG00000038702","protein_coding"
"611","ENSMUSG00000070695","protein_coding"
"612","ENSMUSG00000094429","protein_coding"
"613","ENSMUSG00000101303","protein_coding"
"614","ENSMUSG00000100617","protein_coding"
"615","ENSMUSG00000102030","protein_coding"
"616","ENSMUSG00000026374","protein_coding"
"617","ENSMUSG00000026377","protein_coding"
"618","ENSMUSG00000064302","protein_coding"
"619","ENSMUSG00000026380","protein_coding"
"620","ENSMUSG00000048402","protein_coding"
"621","ENSMUSG00000037035","protein_coding"
"622","ENSMUSG00000004451","protein_coding"
"623","ENSMUSG00000098923","protein_coding"
"624","ENSMUSG00000026383","protein_coding"
"625","ENSMUSG00000026384","protein_coding"
"626","ENSMUSG00000036975","protein_coding"
"627","ENSMUSG00000036962","protein_coding"
"628","ENSMUSG00000026387","protein_coding"
"629","ENSMUSG00000050777","protein_coding"
"630","ENSMUSG00000026385","protein_coding"
"631","ENSMUSG00000026388","protein_coding"
"632","ENSMUSG00000026389","protein_coding"
